Attrition,Employee Number,emp no,Gender,Job Role,Over Time,Job Satisfaction,Years At Company,Education,Environment Satisfaction,Hourly Rate,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,249,STAFF-249,Male,Laboratory Technician,No,3,3,Bachelor's Degree,3,86,1,3,3690,3425,2,15,3,4,80,1,5,2,3,2,0,2
No,250,STAFF-250,Female,Manufacturing Director,No,1,4,Associates Degree,4,57,2,1,4450,26250,1,11,3,3,80,2,5,3,4,2,1,3
No,252,STAFF-252,Female,Research Scientist,No,2,8,Bachelor's Degree,4,72,1,2,2756,4673,1,13,3,4,80,1,8,3,8,7,1,6
No,253,STAFF-253,Female,Manager,No,3,20,High School,4,46,5,3,19033,6499,1,14,3,2,80,1,21,3,20,8,9,9
No,254,STAFF-254,Male,Research Director,No,2,24,Master's Degree,3,61,5,2,18722,13339,8,11,3,4,80,0,36,3,24,15,2,15
No,256,STAFF-256,Male,Manufacturing Director,No,3,10,High School,4,45,2,3,9547,14074,1,17,3,3,80,0,10,2,10,9,1,9
No,258,STAFF-258,Female,Healthcare Representative,No,2,7,Bachelor's Degree,4,98,4,2,13734,7192,3,18,3,3,80,0,21,3,7,7,1,0
No,259,STAFF-259,Male,Manager,No,3,33,Master's Degree,3,65,5,3,19999,5678,0,14,3,1,80,1,34,3,33,18,11,9
No,260,STAFF-260,Female,Research Scientist,No,2,7,Bachelor's Degree,4,99,1,2,2279,11781,1,16,3,4,80,0,7,2,7,7,0,3
Yes,261,STAFF-261,Male,Manufacturing Director,Yes,3,1,Associates Degree,2,50,2,3,5916,15497,3,13,3,1,80,0,8,3,1,0,0,1
No,262,STAFF-262,Male,Research Scientist,No,4,5,Bachelor's Degree,4,37,1,4,2089,5228,4,14,3,4,80,3,7,4,5,4,2,2
No,264,STAFF-264,Male,Manager,No,4,20,Associates Degree,1,65,4,4,16792,20462,9,23,4,4,80,1,22,3,20,8,11,8
No,267,STAFF-267,Male,Research Scientist,Yes,1,8,Bachelor's Degree,2,65,1,1,3564,22977,1,12,3,1,80,1,8,2,8,7,1,7
No,269,STAFF-269,Female,Laboratory Technician,No,2,6,Bachelor's Degree,2,37,2,2,4425,15986,5,11,3,4,80,0,10,3,6,2,1,2
No,270,STAFF-270,Female,Manufacturing Director,No,3,5,Associates Degree,3,36,2,3,5265,16439,2,16,3,2,80,1,11,3,5,3,0,2
No,271,STAFF-271,Male,Manufacturing Director,No,3,1,Master's Degree,4,88,2,3,6553,7259,9,14,3,2,80,0,14,3,1,0,0,0
No,273,STAFF-273,Male,Manufacturing Director,No,4,7,Bachelor's Degree,4,54,2,4,6261,4185,3,18,3,1,80,1,9,1,7,7,1,7
No,274,STAFF-274,Male,Manufacturing Director,No,1,2,High School,3,60,2,1,4298,9679,5,19,3,3,80,1,6,3,2,2,2,0
No,275,STAFF-275,Male,Manufacturing Director,Yes,4,7,Master's Degree,4,92,2,4,6804,23793,1,15,3,1,80,2,7,3,7,7,1,7
No,277,STAFF-277,Male,Research Scientist,Yes,3,5,Master's Degree,4,43,1,3,3815,5972,1,17,3,4,80,1,5,4,5,3,2,0
No,281,STAFF-281,Male,Laboratory Technician,Yes,4,7,Associates Degree,3,99,2,4,2741,16523,8,15,3,3,80,1,15,4,7,2,3,7
Yes,282,STAFF-282,Male,Healthcare Representative,Yes,1,1,High School,2,70,2,1,6673,11354,7,19,3,2,80,0,17,3,1,0,0,0
Yes,283,STAFF-283,Female,Sales Executive,No,4,10,Bachelor's Degree,2,35,3,4,7639,24525,1,22,4,4,80,3,10,2,10,4,1,9
No,284,STAFF-284,Male,Research Scientist,Yes,2,4,Bachelor's Degree,4,60,1,2,2328,12392,1,16,3,1,80,1,4,2,4,2,2,2
No,286,STAFF-286,Female,Laboratory Technician,No,4,8,High School,2,73,1,4,2153,7703,1,13,3,1,80,0,8,3,8,1,1,7
No,287,STAFF-287,Male,Healthcare Representative,No,4,3,Doctoral Degree,4,63,2,4,4876,14242,9,14,3,4,80,1,5,1,3,2,0,2
No,288,STAFF-288,Male,Healthcare Representative,No,1,4,Master's Degree,4,97,3,1,9396,12368,7,16,3,3,80,1,17,3,4,2,0,3
Yes,291,STAFF-291,Male,Sales Executive,No,4,14,Master's Degree,4,32,3,4,10400,25812,1,11,3,3,80,0,14,2,14,8,9,8
No,292,STAFF-292,Male,Manufacturing Director,No,3,11,High School,3,88,3,3,8474,20925,1,22,4,3,80,0,12,3,11,8,5,8
No,293,STAFF-293,Female,Sales Executive,No,3,7,Bachelor's Degree,4,90,2,3,9981,12916,1,14,3,4,80,0,7,3,7,7,0,7
No,296,STAFF-296,Male,Research Director,No,2,10,Master's Degree,2,81,3,2,12490,15736,5,16,3,4,80,2,16,1,10,9,4,7
Yes,297,STAFF-297,Female,Research Scientist,Yes,1,5,Bachelor's Degree,4,88,1,1,2657,8556,5,11,3,3,80,0,8,3,5,2,0,4
No,298,STAFF-298,Female,Manager,Yes,4,1,Bachelor's Degree,4,75,3,4,13591,14674,3,18,3,3,80,0,16,3,1,0,0,0
Yes,299,STAFF-299,Female,Sales Executive,No,1,6,Master's Degree,3,52,2,1,6696,22967,5,15,3,3,80,0,9,2,6,3,0,1
Yes,300,STAFF-300,Male,Research Scientist,No,3,6,Bachelor's Degree,3,85,1,3,2058,19757,0,14,3,4,80,0,7,2,6,2,1,5
No,302,STAFF-302,Female,Sales Executive,No,4,19,Bachelor's Degree,4,57,3,4,8865,16840,6,12,3,4,80,0,23,3,19,7,12,8
No,303,STAFF-303,Female,Sales Executive,No,1,6,Bachelor's Degree,4,52,2,1,5940,17011,2,14,3,4,80,1,16,3,6,2,0,5
No,304,STAFF-304,Male,Laboratory Technician,No,2,13,Associates Degree,4,62,2,2,5914,9945,8,16,3,4,80,0,16,4,13,11,3,7
No,305,STAFF-305,Female,Research Scientist,No,2,3,Master's Degree,3,47,1,2,2622,13248,6,21,4,4,80,0,7,3,3,2,1,1
No,306,STAFF-306,Male,Research Director,Yes,4,10,Bachelor's Degree,2,47,3,4,12185,10056,1,14,3,3,80,3,10,3,10,8,0,7
No,307,STAFF-307,Male,Sales Executive,No,3,16,Bachelor's Degree,1,76,3,3,10609,9647,0,12,3,3,80,2,17,2,16,10,5,13
No,308,STAFF-308,Male,Manufacturing Director,No,3,5,Master's Degree,3,90,2,3,4345,4381,0,12,3,4,80,1,6,3,5,4,1,4
No,309,STAFF-309,Male,Research Scientist,No,4,1,Bachelor's Degree,3,70,1,4,2177,8456,3,17,3,1,80,1,7,3,1,0,0,0
No,311,STAFF-311,Male,Sales Representative,No,4,9,Master's Degree,1,41,1,4,2793,2539,4,17,3,3,80,1,13,3,9,8,5,8
No,312,STAFF-312,Female,Sales Executive,No,4,11,High School,2,42,3,4,7918,6599,1,14,3,4,80,1,11,3,11,10,4,1
No,314,STAFF-314,Female,Sales Executive,No,3,10,Bachelor's Degree,3,92,3,3,8789,9096,1,14,3,1,80,0,10,4,10,7,0,8
Yes,315,STAFF-315,Male,Research Scientist,Yes,4,4,High School,3,86,1,4,2389,14961,1,13,3,3,80,0,4,2,4,3,0,1
No,316,STAFF-316,Female,Laboratory Technician,No,4,2,Bachelor's Degree,3,89,1,4,3212,3300,7,15,3,2,80,0,6,2,2,2,2,2
No,319,STAFF-319,Male,Manager,No,4,22,Associates Degree,3,58,5,4,19232,4933,1,11,3,4,80,0,22,3,22,17,11,15
No,321,STAFF-321,Male,Human Resources,No,3,2,Associates Degree,2,52,1,3,2267,25657,8,17,3,4,80,0,7,2,2,2,2,2
No,323,STAFF-323,Female,Manager,No,4,7,Master's Degree,4,68,5,4,19517,24118,3,11,3,3,80,1,32,2,7,0,0,6
Yes,325,STAFF-325,Male,Laboratory Technician,Yes,4,5,Bachelor's Degree,3,58,1,4,2436,22149,5,13,3,3,80,1,8,1,5,4,0,4
No,327,STAFF-327,Female,Manager,Yes,4,17,Bachelor's Degree,4,80,4,4,16064,7744,5,22,4,3,80,1,22,3,17,13,1,9
Yes,328,STAFF-328,Female,Laboratory Technician,No,1,9,Associates Degree,1,39,1,1,2707,21509,7,20,4,1,80,0,13,4,9,7,1,7
No,329,STAFF-329,Male,Manager,Yes,3,33,Master's Degree,1,79,5,3,19068,21030,1,18,3,4,80,0,33,4,33,7,15,12
No,330,STAFF-330,Female,Sales Representative,No,2,4,Associates Degree,3,56,1,2,3931,20990,2,11,3,1,80,1,6,3,4,3,1,2
Yes,331,STAFF-331,Male,Laboratory Technician,Yes,3,3,Bachelor's Degree,4,62,1,3,3730,9571,0,14,3,4,80,0,4,1,3,2,1,2
No,332,STAFF-332,Female,Laboratory Technician,No,3,3,Master's Degree,3,96,1,3,2232,15417,7,14,3,3,80,3,7,3,3,2,1,2
No,333,STAFF-333,Male,Sales Executive,No,4,3,Master's Degree,3,100,2,4,4465,12069,0,18,3,1,80,0,4,3,3,2,2,2
No,334,STAFF-334,Male,Research Scientist,No,1,1,Associates Degree,3,36,2,1,3072,19877,2,16,3,1,80,2,17,2,1,0,0,0
No,335,STAFF-335,Male,Research Scientist,No,4,9,Associates Degree,1,62,2,4,3319,24447,1,17,3,1,80,2,9,3,9,8,4,7
No,336,STAFF-336,Male,Manager,No,4,24,Bachelor's Degree,3,70,5,4,19202,15970,0,11,3,3,80,1,25,3,24,0,1,7
No,337,STAFF-337,Male,Research Director,No,3,2,Master's Degree,2,73,3,3,13675,13523,9,12,3,1,80,1,9,3,2,2,2,2
No,338,STAFF-338,Female,Research Scientist,No,4,2,Master's Degree,3,63,1,4,2911,14776,1,13,3,3,80,1,2,2,2,2,0,2
No,339,STAFF-339,Male,Manufacturing Director,No,1,11,Master's Degree,4,84,2,1,5957,23687,6,13,3,2,80,1,13,3,11,9,5,9
No,340,STAFF-340,Female,Research Scientist,No,1,3,Associates Degree,3,83,1,1,3920,18697,2,14,3,1,80,1,17,2,3,1,0,2
No,341,STAFF-341,Male,Manufacturing Director,No,3,3,Master's Degree,1,77,2,3,6434,5118,4,17,3,4,80,1,9,3,3,2,0,2
Yes,342,STAFF-342,Male,Manufacturing Director,No,3,1,Bachelor's Degree,1,61,3,3,10048,22573,6,11,3,2,80,2,17,3,1,0,0,0
No,343,STAFF-343,Female,Healthcare Representative,No,3,19,Master's Degree,3,64,3,3,10938,6420,0,25,4,4,80,0,20,3,19,6,11,8
No,346,STAFF-346,Male,Research Scientist,No,4,6,Bachelor's Degree,3,60,1,4,2340,22673,1,19,3,1,80,0,6,3,6,5,1,5
No,347,STAFF-347,Female,Research Scientist,Yes,1,3,Associates Degree,4,82,2,1,6545,23016,3,13,3,3,80,0,10,3,3,2,0,2
No,349,STAFF-349,Male,Sales Executive,No,4,3,Associates Degree,4,45,2,4,6931,10732,2,14,3,4,80,1,10,3,3,2,0,2
No,350,STAFF-350,Female,Manufacturing Director,No,3,4,Bachelor's Degree,1,62,2,3,4898,7505,0,12,3,4,80,2,5,3,4,2,1,2
No,351,STAFF-351,Female,Laboratory Technician,Yes,1,9,Bachelor's Degree,4,56,1,1,2593,8007,0,11,3,3,80,1,10,3,9,6,7,8
No,352,STAFF-352,Male,Research Director,No,3,21,Associates Degree,1,49,5,3,19436,5949,0,19,3,4,80,1,22,3,21,7,3,9
No,353,STAFF-353,Male,Research Scientist,No,4,1,Bachelor's Degree,3,96,1,4,2723,23231,1,11,3,2,80,0,1,2,1,0,0,0
Yes,355,STAFF-355,Male,Laboratory Technician,No,2,5,Associates Degree,3,71,1,2,3479,11652,0,11,3,2,80,0,6,4,5,4,1,4
No,359,STAFF-359,Male,Laboratory Technician,No,2,5,Bachelor's Degree,2,100,1,2,2794,26062,1,20,4,3,80,0,5,1,5,1,0,3
No,361,STAFF-361,Male,Sales Executive,No,4,8,Associates Degree,4,39,2,4,5249,19682,3,18,3,4,80,1,13,3,8,7,7,5
No,362,STAFF-362,Male,Laboratory Technician,No,1,6,High School,4,84,2,1,2176,19737,4,13,3,4,80,0,9,3,6,2,0,4
No,363,STAFF-363,Female,Manager,Yes,2,7,Bachelor's Degree,3,75,4,2,16872,14977,3,12,3,2,80,1,28,2,7,7,7,7
Yes,364,STAFF-364,Male,Laboratory Technician,No,3,0,Master's Degree,1,79,1,3,3485,14935,2,11,3,3,80,0,5,1,0,0,0,0
No,366,STAFF-366,Male,Sales Executive,No,2,0,Bachelor's Degree,1,78,2,2,6644,3687,2,19,3,2,80,2,10,3,0,0,0,0
No,367,STAFF-367,Male,Healthcare Representative,No,4,9,Bachelor's Degree,2,64,2,4,5582,14408,0,21,4,2,80,1,10,3,9,0,7,8
No,369,STAFF-369,Male,Healthcare Representative,No,1,6,Associates Degree,2,85,2,1,4000,18384,1,12,3,4,80,2,6,3,6,3,1,5
No,372,STAFF-372,Male,Healthcare Representative,Yes,4,20,Associates Degree,3,79,4,4,13496,7501,0,14,3,2,80,0,21,3,20,7,4,10
No,373,STAFF-373,Male,Laboratory Technician,No,4,15,Bachelor's Degree,4,47,1,4,3210,20251,0,11,3,3,80,1,16,3,15,13,10,11
No,374,STAFF-374,Male,Manager,Yes,1,36,Bachelor's Degree,4,81,5,1,19045,18938,0,14,3,3,80,0,37,3,36,10,4,13
Yes,376,STAFF-376,Male,Manager,Yes,2,10,Master's Degree,1,88,3,2,11849,10268,1,12,3,4,80,1,10,2,10,7,9,9
No,377,STAFF-377,Male,Research Scientist,No,4,5,Bachelor's Degree,4,94,1,4,2070,2613,1,23,4,4,80,1,5,2,5,2,0,4
No,378,STAFF-378,Male,Sales Executive,No,4,5,Master's Degree,3,98,2,4,6502,22825,4,14,3,2,80,1,7,4,5,4,0,1
No,379,STAFF-379,Male,Research Scientist,No,3,3,Associates Degree,4,100,1,3,3230,10531,1,17,3,1,80,0,3,4,3,2,1,0
No,380,STAFF-380,Female,Research Director,Yes,4,5,Master's Degree,1,80,3,4,13603,11677,2,18,3,1,80,2,15,3,5,2,0,2
No,381,STAFF-381,Female,Manager,No,2,7,Bachelor's Degree,2,71,3,2,11996,19100,7,18,3,2,80,1,10,2,7,7,6,2
No,382,STAFF-382,Female,Sales Executive,Yes,1,8,Associates Degree,1,44,2,1,5605,19191,1,24,4,3,80,1,8,3,8,0,7,7
No,384,STAFF-384,Female,Manufacturing Director,No,2,6,Bachelor's Degree,3,84,2,2,6397,26767,1,20,4,1,80,1,6,1,6,5,1,4
No,385,STAFF-385,Male,Research Director,No,2,10,High School,1,96,5,2,19144,15815,3,14,3,1,80,2,28,2,10,4,1,6
No,386,STAFF-386,Male,Research Director,Yes,3,5,Master's Degree,3,45,4,3,17584,21016,3,16,3,4,80,3,21,2,5,3,1,3
No,387,STAFF-387,Male,Sales Executive,No,3,20,High School,2,99,2,3,4907,24532,1,25,4,3,80,0,20,3,20,16,11,6
No,388,STAFF-388,Male,Sales Executive,No,4,10,Associates Degree,2,44,2,4,4554,20260,1,18,3,1,80,0,10,2,10,7,0,9
No,389,STAFF-389,Male,Laboratory Technician,Yes,4,10,Associates Degree,2,37,2,4,5415,15972,3,19,3,4,80,1,12,3,10,7,0,8
No,390,STAFF-390,Male,Healthcare Representative,Yes,1,5,Associates Degree,1,60,2,1,4741,22722,1,13,3,3,80,1,5,3,5,3,3,3
No,391,STAFF-391,Female,Research Scientist,No,4,17,Bachelor's Degree,4,42,1,4,2115,15881,1,12,3,2,80,0,17,3,17,12,5,7
Yes,392,STAFF-392,Male,Laboratory Technician,Yes,3,1,Bachelor's Degree,4,43,1,3,3161,19920,3,22,4,4,80,1,19,1,1,0,0,0
No,393,STAFF-393,Male,Healthcare Representative,No,4,2,Master's Degree,4,82,2,4,5745,18899,9,14,3,2,80,1,10,3,2,2,1,2
Yes,394,STAFF-394,Male,Laboratory Technician,Yes,2,3,Master's Degree,1,45,1,2,2373,14180,2,13,3,4,80,1,5,3,3,2,0,2
No,395,STAFF-395,Female,Research Scientist,No,4,5,Associates Degree,4,66,1,4,3310,4488,1,21,4,4,80,0,5,3,5,3,0,2
No,396,STAFF-396,Female,Research Director,Yes,1,3,Master's Degree,3,35,5,1,18665,25594,9,11,3,4,80,0,22,3,3,2,1,2
No,397,STAFF-397,Male,Research Scientist,No,2,8,Bachelor's Degree,3,30,2,2,4485,26285,4,12,3,4,80,0,10,3,8,0,7,7
No,399,STAFF-399,Female,Sales Representative,No,2,2,Bachelor's Degree,4,84,1,2,2789,3909,1,11,3,3,80,1,2,2,2,2,2,2
Yes,401,STAFF-401,Male,Sales Executive,Yes,4,8,Master's Degree,4,48,2,4,5828,8450,1,12,3,2,80,0,8,3,8,7,7,4
No,403,STAFF-403,Male,Research Scientist,Yes,4,4,Bachelor's Degree,2,53,1,4,2326,11411,1,12,3,3,80,3,4,2,4,2,1,2
No,404,STAFF-404,Female,Sales Executive,No,2,20,Bachelor's Degree,3,77,4,2,13525,14864,5,14,3,4,80,1,23,4,20,4,4,8
Yes,405,STAFF-405,Male,Laboratory Technician,No,3,0,Bachelor's Degree,3,54,1,3,1420,25233,1,13,3,3,80,0,0,3,0,0,0,0
No,406,STAFF-406,Male,Sales Executive,No,2,11,Bachelor's Degree,3,96,3,2,8020,5100,0,15,3,3,80,2,12,2,11,9,6,9
No,407,STAFF-407,Male,Laboratory Technician,No,4,1,Master's Degree,3,81,1,4,3688,7122,4,18,3,4,80,2,4,3,1,0,0,0
No,408,STAFF-408,Male,Manufacturing Director,No,2,4,Bachelor's Degree,4,84,2,2,5482,16321,5,18,3,4,80,1,13,3,4,1,1,2
No,410,STAFF-410,Male,Manager,No,2,22,Master's Degree,4,88,4,2,16015,15896,1,19,3,2,80,0,22,3,22,10,0,4
No,411,STAFF-411,Female,Sales Representative,No,3,0,Bachelor's Degree,4,69,1,3,1200,9724,1,12,3,1,80,0,0,3,0,0,0,0
No,412,STAFF-412,Male,Healthcare Representative,No,1,8,Associates Degree,2,68,2,1,5661,4824,0,19,3,3,80,0,9,3,8,3,0,7
No,416,STAFF-416,Male,Sales Executive,No,4,8,Bachelor's Degree,2,100,2,4,6929,12241,4,11,3,2,80,1,10,2,8,7,7,7
No,417,STAFF-417,Male,Healthcare Representative,No,4,18,Bachelor's Degree,3,48,3,4,9613,10942,0,17,3,1,80,3,19,2,18,10,3,7
No,419,STAFF-419,Female,Laboratory Technician,No,2,9,Master's Degree,2,47,2,2,5674,6927,7,15,3,3,80,1,11,3,9,8,0,8
No,420,STAFF-420,Male,Sales Executive,No,3,13,Bachelor's Degree,4,91,2,3,5484,16985,1,14,3,3,80,1,13,2,13,8,4,8
No,421,STAFF-421,Female,Research Director,No,2,10,Associates Degree,1,81,3,2,12061,26707,3,17,3,3,80,1,19,3,10,8,0,1
No,422,STAFF-422,Male,Healthcare Representative,Yes,3,5,Master's Degree,4,32,2,3,5660,17056,2,13,3,4,80,1,12,3,5,3,1,2
No,423,STAFF-423,Male,Research Scientist,Yes,4,5,Master's Degree,3,86,1,4,4821,10077,0,12,3,3,80,1,6,3,5,2,0,3
No,424,STAFF-424,Male,Human Resources,No,1,2,Bachelor's Degree,1,62,2,1,6410,17822,3,12,3,4,80,0,9,3,2,2,1,0
No,425,STAFF-425,Male,Laboratory Technician,No,1,24,Bachelor's Degree,1,97,3,1,5210,20308,1,18,3,1,80,1,24,3,24,9,9,11
No,426,STAFF-426,Male,Research Scientist,Yes,4,2,Master's Degree,3,32,1,4,2695,7747,0,18,3,2,80,1,3,1,2,2,2,2
No,428,STAFF-428,Female,Manager,No,2,10,Master's Degree,4,74,3,2,11878,23364,6,11,3,2,80,2,12,3,10,6,8,8
No,429,STAFF-429,Male,Manager,Yes,1,21,High School,3,99,4,1,17068,5355,1,14,3,4,80,0,21,3,21,9,11,10
No,430,STAFF-430,Female,Laboratory Technician,No,4,8,Master's Degree,3,33,1,4,2455,10675,0,19,3,1,80,0,9,3,8,7,1,7
No,431,STAFF-431,Female,Healthcare Representative,Yes,3,7,Associates Degree,3,90,4,3,13964,17810,7,12,3,4,80,0,25,3,7,1,0,7
Yes,433,STAFF-433,Male,Research Scientist,No,2,8,Master's Degree,3,85,2,2,4941,17747,2,15,3,1,80,0,11,2,8,2,7,7
No,434,STAFF-434,Female,Research Scientist,Yes,2,4,Bachelor's Degree,3,85,1,2,2478,20938,1,12,3,2,80,0,4,2,4,3,1,2
No,436,STAFF-436,Female,Sales Executive,Yes,2,13,Associates Degree,3,65,2,2,5228,24624,1,11,3,4,80,0,13,3,13,12,11,9
No,437,STAFF-437,Male,Sales Executive,Yes,3,5,Bachelor's Degree,4,74,2,3,4478,5242,1,11,3,1,80,0,5,3,5,4,0,4
No,438,STAFF-438,Male,Sales Executive,No,4,7,Bachelor's Degree,4,73,2,4,7547,7143,4,12,3,4,80,3,13,3,7,7,1,7
No,439,STAFF-439,Female,Research Scientist,No,4,7,Master's Degree,1,74,2,4,5055,10557,7,16,3,3,80,0,10,2,7,7,0,7
Yes,440,STAFF-440,Male,Research Scientist,Yes,4,3,Master's Degree,1,84,1,4,3464,24737,5,13,3,4,80,0,5,2,3,2,2,2
No,441,STAFF-441,Female,Research Scientist,No,4,10,Associates Degree,4,64,2,4,5775,11934,1,13,3,4,80,2,11,3,10,8,1,9
No,442,STAFF-442,Female,Manufacturing Director,No,3,10,Associates Degree,3,48,3,3,8943,14034,1,24,4,1,80,1,10,3,10,9,8,9
No,444,STAFF-444,Male,Manager,No,4,21,Associates Degree,3,54,5,4,19272,21141,1,15,3,1,80,1,21,3,21,9,13,3
Yes,445,STAFF-445,Female,Sales Executive,Yes,3,1,Associates Degree,4,41,2,3,5238,17778,4,18,3,1,80,0,12,2,1,0,0,0
No,446,STAFF-446,Male,Sales Executive,No,4,7,Bachelor's Degree,2,46,2,4,4682,4317,3,14,3,3,80,0,9,2,7,7,0,1
No,447,STAFF-447,Male,Research Director,No,3,3,Doctoral Degree,4,42,5,3,18300,16375,4,11,3,2,80,1,21,3,3,2,1,1
No,448,STAFF-448,Female,Laboratory Technician,No,3,9,Master's Degree,3,82,2,3,5257,6227,1,11,3,2,80,1,9,4,9,7,0,0
No,449,STAFF-449,Male,Sales Executive,Yes,2,5,High School,3,73,2,2,6349,22107,0,13,3,4,80,1,6,3,5,4,1,4
No,450,STAFF-450,Female,Research Scientist,No,3,4,Master's Degree,4,31,2,3,4869,16885,3,12,3,4,80,0,20,2,4,3,0,3
No,451,STAFF-451,Female,Healthcare Representative,No,1,1,Bachelor's Degree,3,43,3,1,9985,9262,8,16,3,1,80,1,10,2,1,0,0,0
No,452,STAFF-452,Male,Research Scientist,No,4,10,Master's Degree,4,75,2,4,3697,9278,9,14,3,1,80,2,12,3,10,9,9,8
No,453,STAFF-453,Male,Sales Executive,Yes,4,4,Associates Degree,2,57,2,4,7457,13273,2,22,4,3,80,3,6,2,4,3,0,2
Yes,454,STAFF-454,Male,Laboratory Technician,Yes,1,7,Master's Degree,2,77,1,1,2119,4759,1,11,3,4,80,0,7,2,7,7,0,7
No,455,STAFF-455,Male,Laboratory Technician,No,4,3,Doctoral Degree,2,30,1,4,3983,7621,0,17,3,3,80,0,4,3,3,2,2,2
No,456,STAFF-456,Female,Sales Executive,No,3,10,Bachelor's Degree,4,30,2,3,6118,5431,1,13,3,3,80,3,10,3,10,9,1,2
No,458,STAFF-458,Female,Sales Executive,No,2,8,Master's Degree,2,56,2,2,6214,3415,1,18,3,1,80,1,8,3,8,7,0,7
No,460,STAFF-460,Male,Manufacturing Director,No,4,6,Associates Degree,4,61,2,4,6347,23177,7,16,3,3,80,2,8,2,6,2,0,4
No,461,STAFF-461,Male,Research Director,Yes,4,11,Associates Degree,3,92,3,4,11510,15682,0,14,3,2,80,1,12,3,11,10,2,9
No,462,STAFF-462,Female,Manufacturing Director,Yes,4,11,Master's Degree,3,39,3,4,7143,25713,1,14,3,3,80,0,11,2,11,9,4,10
No,463,STAFF-463,Female,Sales Executive,Yes,2,7,High School,4,39,2,2,8268,11866,1,14,3,1,80,2,7,3,7,7,1,7
No,464,STAFF-464,Male,Manufacturing Director,No,2,16,Master's Degree,3,62,3,2,8095,18264,0,13,3,4,80,0,17,3,16,6,0,13
No,465,STAFF-465,Male,Research Scientist,No,4,4,High School,3,83,1,4,2904,16092,1,12,3,3,80,2,4,2,4,2,0,2
No,466,STAFF-466,Male,Manufacturing Director,Yes,2,5,Bachelor's Degree,4,95,2,2,6032,10110,6,15,3,4,80,0,8,3,5,4,1,2
No,467,STAFF-467,Male,Sales Representative,No,3,0,High School,2,99,2,3,2976,25751,3,19,3,1,80,0,5,3,0,0,0,0
No,468,STAFF-468,Female,Research Director,No,4,1,Doctoral Degree,1,44,4,4,15992,15901,2,14,3,2,80,0,16,3,1,0,0,0
No,469,STAFF-469,Male,Sales Executive,No,3,4,Bachelor's Degree,4,61,2,3,4649,16928,1,14,3,1,80,1,4,2,4,3,0,2
No,470,STAFF-470,Male,Human Resources,Yes,3,3,High School,3,52,1,3,2696,24017,0,11,3,3,80,1,4,3,3,2,1,0
No,471,STAFF-471,Female,Laboratory Technician,No,2,8,Bachelor's Degree,3,75,1,2,2370,3956,1,13,3,3,80,1,8,3,8,0,0,7
No,473,STAFF-473,Female,Manager,No,3,0,High School,1,91,3,3,12504,23978,3,21,4,2,80,1,15,1,0,0,0,0
No,474,STAFF-474,Male,Research Scientist,Yes,1,7,Bachelor's Degree,3,51,2,1,5974,17001,4,13,3,1,80,2,13,3,7,7,6,7
No,475,STAFF-475,Female,Sales Executive,Yes,3,2,Associates Degree,4,85,2,3,4736,6069,7,12,3,2,80,1,4,4,2,2,2,2
No,476,STAFF-476,Male,Sales Executive,No,3,8,Bachelor's Degree,3,57,2,3,5296,20156,1,17,3,2,80,1,8,3,8,7,7,7
No,477,STAFF-477,Male,Healthcare Representative,No,4,1,Master's Degree,1,98,2,4,6781,17078,3,23,4,2,80,0,14,3,1,0,0,0
Yes,478,STAFF-478,Female,Sales Representative,Yes,2,3,High School,1,99,1,2,2174,9150,1,11,3,3,80,0,3,3,3,2,1,2
No,479,STAFF-479,Female,Sales Executive,No,4,1,Doctoral Degree,4,45,2,4,6653,15276,4,15,3,2,80,0,7,3,1,0,0,0
No,481,STAFF-481,Male,Sales Executive,No,4,13,Master's Degree,1,48,3,4,9699,7246,4,11,3,1,80,1,16,3,13,9,1,12
No,482,STAFF-482,Male,Healthcare Representative,No,3,3,Master's Degree,4,88,2,3,6755,2967,2,11,3,3,80,0,15,3,3,2,1,2
No,483,STAFF-483,Female,Laboratory Technician,Yes,3,7,Master's Degree,4,46,1,3,2213,22495,3,13,3,3,80,1,10,3,7,7,1,7
No,484,STAFF-484,Male,Sales Representative,No,4,3,Associates Degree,1,39,1,4,2610,2851,1,24,4,3,80,0,3,2,3,2,2,2
Yes,485,STAFF-485,Female,Sales Representative,Yes,3,1,Bachelor's Degree,4,34,1,3,2851,9150,1,13,3,2,80,0,1,3,1,0,0,0
No,486,STAFF-486,Female,Laboratory Technician,No,1,5,Bachelor's Degree,3,98,1,1,3452,17663,6,20,4,2,80,1,17,3,5,4,0,3
No,487,STAFF-487,Female,Manufacturing Director,No,3,1,Master's Degree,3,30,2,3,5258,16044,2,14,3,3,80,0,7,4,1,0,0,0
Yes,488,STAFF-488,Male,Sales Executive,No,2,8,Bachelor's Degree,1,56,2,2,9355,9558,1,18,3,3,80,0,8,3,8,7,7,7
No,491,STAFF-491,Male,Healthcare Representative,No,4,4,Bachelor's Degree,4,100,3,4,10496,2755,6,15,3,4,80,0,20,3,4,3,1,3
Yes,492,STAFF-492,Male,Sales Executive,Yes,3,6,Associates Degree,3,68,2,3,6380,6110,2,12,3,1,80,2,8,3,6,4,1,0
